frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,sex_label,sex_decfunc_avg,sex_label_avg
0,"(62, 100, 274, 313)",0,0.9975581169128418,,-9.235134428559808,f,-9.653863356582661,f
0,"(951, -7, 1130, 173)",1,0.9882429242134094,,11.62404097753327,m,11.416585604378438,m
0,"(744, 17, 933, 206)",2,0.9872483611106873,,-7.098923156543632,f,-6.400955975768571,f
0,"(557, 199, 733, 375)",3,0.9337108731269836,,18.077494077415516,m,16.161912695728738,m
0,"(312, 161, 497, 347)",4,0.8094119429588318,,-13.196656084964383,f,-15.807078074314731,f
10,"(72, 105, 281, 315)",0,,22.637105049346303,-8.201756913902916,f,-9.653863356582661,f
10,"(958, -7, 1134, 169)",1,,22.209789030798323,13.2138605935094,m,11.416585604378438,m
10,"(746, 14, 940, 209)",2,,21.370910818882567,-5.936706814869403,f,-6.400955975768571,f
10,"(562, 197, 738, 373)",3,,23.665136456267703,18.94907104499952,m,16.161912695728738,m
10,"(317, 160, 505, 348)",4,,21.522939799182335,-11.50744017953407,f,-15.807078074314731,f
20,"(68, 100, 281, 314)",0,,23.219115733445186,-7.048087940155994,f,-9.653863356582661,f
20,"(953, -9, 1132, 170)",1,,22.99842950466103,12.573889755511267,m,11.416585604378438,m
20,"(744, 23, 927, 206)",2,,17.64406981837354,-3.513980764159309,f,-6.400955975768571,f
20,"(564, 199, 739, 374)",3,,22.57140391578616,17.542663431035802,m,16.161912695728738,m
20,"(315, 159, 502, 346)",4,,25.606078454241846,-15.109451577670553,f,-15.807078074314731,f
30,"(61, 105, 278, 322)",0,,23.30028047000849,-8.608949711400555,f,-9.653863356582661,f
30,"(948, -7, 1127, 172)",1,,25.74967665570173,13.340805773777877,m,11.416585604378438,m
30,"(738, 24, 919, 204)",2,,16.383438863652675,-7.536795937220498,f,-6.400955975768571,f
30,"(563, 205, 738, 380)",3,,15.615480085082071,16.513767327004683,m,16.161912695728738,m
30,"(309, 162, 495, 348)",4,,23.630730095854183,-14.013566292589728,f,-15.807078074314731,f
40,"(62, 107, 275, 320)",0,,21.592683753470727,-9.770762030668381,f,-9.653863356582661,f
40,"(939, -7, 1119, 174)",1,,21.930590882648822,11.125659582975471,m,11.416585604378438,m
40,"(734, 24, 914, 204)",2,,17.0009043223712,-5.832849787308193,f,-6.400955975768571,f
40,"(564, 207, 740, 383)",3,,18.122587964223364,14.949513972970164,m,16.161912695728738,m
40,"(315, 163, 503, 350)",4,,18.64651714707899,-17.737500947111034,f,-15.807078074314731,f
50,"(61, 110, 273, 321)",0,0.9974837303161621,19.810311286006545,-8.086740015075462,f,-9.653863356582661,f
50,"(940, -10, 1119, 169)",1,0.9177563786506653,23.857866548160942,9.55152084960109,m,11.416585604378438,m
50,"(728, 21, 923, 216)",2,0.9102004766464233,22.57552874373652,-7.7405225620532825,f,-6.400955975768571,f
50,"(561, 205, 740, 384)",3,0.8329789042472839,15.646899085150816,17.35403161053306,m,16.161912695728738,m
50,"(319, 169, 489, 340)",4,0.6715247631072998,19.922621204695396,-18.04321118064528,f,-15.807078074314731,f
60,"(58, 112, 266, 319)",0,,19.05397404683557,-11.201162367564132,f,-9.653863356582661,f
60,"(947, -10, 1122, 166)",1,,26.00824681034082,9.61717196275241,m,11.416585604378438,m
60,"(732, 13, 923, 204)",2,,24.73536731386216,-6.747152466982046,f,-6.400955975768571,f
60,"(562, 200, 741, 379)",3,,9.817180049876491,9.746847406142425,m,16.161912695728738,m
60,"(324, 165, 493, 334)",4,,23.437877370388012,-19.111521884585436,f,-15.807078074314731,f
70,"(62, 110, 285, 333)",0,,17.381175844103904,-9.146746735440834,f,-9.653863356582661,f
70,"(952, -9, 1128, 167)",1,,21.23944209328344,8.514743168167817,m,11.416585604378438,m
70,"(735, 1, 923, 189)",2,,21.372217458103364,-7.822750414145922,f,-6.400955975768571,f
70,"(325, 160, 494, 328)",4,,11.827013996734461,-9.662667457136566,f,-15.807078074314731,f
80,"(61, 109, 275, 323)",0,,22.455625749661476,-10.317743420637592,f,-9.653863356582661,f
80,"(956, -9, 1118, 152)",1,,18.592802045361267,13.653691449090083,m,11.416585604378438,m
80,"(733, 13, 916, 196)",2,,19.04814757543615,-6.645812926906862,f,-6.400955975768571,f
80,"(331, 167, 502, 338)",4,,23.446371307945874,-19.093535200581684,f,-15.807078074314731,f
90,"(53, 105, 260, 313)",0,,22.372133398294277,-10.929271193102037,f,-9.653863356582661,f
90,"(949, -9, 1116, 157)",1,,18.466571009361836,15.614143595890033,m,11.416585604378438,m
90,"(737, 6, 915, 184)",2,,18.94494401513564,-5.13406492749656,f,-6.400955975768571,f
90,"(327, 151, 498, 322)",4,,17.0215537287861,-20.595229938328586,f,-15.807078074314731,f
100,"(53, 106, 257, 310)",0,0.9792578816413879,18.912052600454043,-11.844477284483744,f,-9.653863356582661,f
100,"(954, -18, 1112, 140)",1,0.7909373044967651,12.722924375431786,12.344969582014938,m,11.416585604378438,m
110,"(59, 100, 262, 303)",0,,21.91826707436136,-9.56121289786113,f,-9.653863356582661,f
110,"(945, -19, 1105, 142)",1,,19.22960156375073,13.101934850979234,m,11.416585604378438,m
120,"(62, 97, 262, 297)",0,,22.294953320491167,-10.573824334187881,f,-9.653863356582661,f
120,"(953, -10, 1111, 147)",1,,24.536549199028094,11.376943212132222,m,11.416585604378438,m
130,"(70, 98, 269, 297)",0,,18.833031170547155,-12.933797744303096,f,-9.653863356582661,f
130,"(949, -10, 1113, 154)",1,,21.90838381471825,10.17699836430476,m,11.416585604378438,m
140,"(69, 105, 267, 303)",0,,22.43141384917666,-10.14403878540138,f,-9.653863356582661,f
140,"(949, -1, 1109, 160)",1,,21.46395032569823,11.339464919299271,m,11.416585604378438,m
150,"(56, 104, 258, 306)",0,0.9880274534225464,16.934187039683206,-9.368467143713117,f,-9.653863356582661,f
150,"(943, -21, 1110, 146)",1,0.7198933959007263,22.72995387620884,9.506560617738566,m,11.416585604378438,m
150,"(571, 199, 732, 359)",5,0.8321158289909363,,15.404456451570548,m,11.852399298054427,m
150,"(718, -7, 907, 182)",6,0.6732754111289978,,4.388468883421405,m,4.388468883421405,m
160,"(51, 107, 252, 308)",0,,21.44475105145547,-10.520110433011254,f,-9.653863356582661,f
160,"(938, -20, 1098, 140)",1,,14.647514510998484,9.572282787848726,m,11.416585604378438,m
160,"(573, 203, 737, 367)",5,,18.550607353243695,14.535150294147554,m,11.852399298054427,m
170,"(46, 109, 246, 309)",0,,20.034955785528147,-8.449222755140681,f,-9.653863356582661,f
170,"(938, -32, 1108, 138)",1,,17.5481309050623,8.850708712988736,m,11.416585604378438,m
170,"(565, 203, 730, 368)",5,,14.8091158472891,12.968341677416694,m,11.852399298054427,m
180,"(42, 111, 233, 303)",0,,19.242221774084154,-8.280659270967744,f,-9.653863356582661,f
180,"(933, -30, 1102, 139)",1,,13.270937656730043,11.815735727075175,m,11.416585604378438,m
180,"(560, 195, 728, 363)",5,,17.35232233411093,15.756557265548972,m,11.852399298054427,m
190,"(45, 96, 240, 291)",0,,15.03919905346807,-9.338777178617812,f,-9.653863356582661,f
190,"(566, 184, 732, 350)",5,,18.346752195002914,9.751385811642313,m,11.852399298054427,m
200,"(26, 92, 241, 307)",0,0.9678126573562622,15.27110512685047,-9.170187904040342,f,-9.653863356582661,f
200,"(575, 188, 741, 355)",5,0.8157707452774048,13.858712460869425,6.223602776411673,m,11.852399298054427,m
210,"(574, 174, 739, 338)",5,,8.264487039368623,8.327300809643244,m,11.852399298054427,m
250,"(808, 93, 938, 223)",7,0.9975056052207947,,-8.531613165700218,f,-9.774729462363403,f
250,"(254, 110, 406, 262)",8,0.9825948476791382,,-15.126812230411472,f,-16.013328707058044,f
250,"(582, 222, 753, 393)",9,0.7289746403694153,,10.881101894147344,m,10.881101894147344,m
260,"(821, 78, 952, 209)",7,,17.85091083058492,-13.262784202504465,f,-9.774729462363403,f
260,"(250, 111, 403, 263)",8,,19.282942765018337,-15.996186505927975,f,-16.013328707058044,f
270,"(846, 58, 978, 189)",7,,8.049686437119565,-9.905722620941486,f,-9.774729462363403,f
270,"(250, 102, 405, 256)",8,,12.54303192205936,-16.916987384834684,f,-16.013328707058044,f
280,"(871, 63, 1005, 198)",7,,10.794232587616184,-9.97533037250752,f,-9.774729462363403,f
290,"(859, 80, 989, 210)",7,,8.636856730469907,-6.400813371577314,f,-9.774729462363403,f
300,"(872, 91, 997, 215)",7,0.9962054491043091,8.50766827532908,-9.927997631951351,f,-9.774729462363403,f
300,"(-15, 147, 204, 365)",10,0.9975374937057495,,-11.959553239569287,f,-9.717596880958247,f
300,"(332, 150, 467, 285)",11,0.9748657941818237,,-16.645790519541166,f,-17.627504112068532,f
300,"(595, 254, 765, 424)",12,0.7971505522727966,,13.596887101341746,m,13.941988334090057,m
310,"(881, 98, 1010, 228)",7,,17.42154961345884,-10.761478566614022,f,-9.774729462363403,f
310,"(19, 152, 231, 364)",10,,11.315162733559774,-7.475640522347206,f,-9.717596880958247,f
310,"(342, 159, 479, 296)",11,,17.178692170356598,-18.39006235778421,f,-17.627504112068532,f
310,"(591, 263, 761, 432)",12,,18.21934230910749,15.101336573435086,m,13.941988334090057,m
320,"(886, 94, 1016, 224)",7,,20.382431665770675,-6.578490073773793,f,-9.774729462363403,f
320,"(341, 169, 478, 305)",11,,18.85953064168048,-17.03106355259999,f,-17.627504112068532,f
320,"(599, 277, 767, 445)",12,,12.707313585760744,15.781778789325399,m,13.941988334090057,m
330,"(885, 92, 1020, 227)",7,,14.721221935312423,-10.487685435047348,f,-9.774729462363403,f
330,"(335, 167, 473, 305)",11,,19.013623720933587,-20.416129869452277,f,-17.627504112068532,f
330,"(599, 284, 764, 449)",12,,15.33188464747025,13.470941553547696,m,13.941988334090057,m
340,"(877, 78, 1015, 216)",7,,9.916409750659035,-8.49462194156922,f,-9.774729462363403,f
340,"(332, 136, 478, 282)",11,,11.20476689717455,-15.514056441233171,f,-17.627504112068532,f
340,"(604, 270, 772, 439)",12,,14.794941362652246,14.482166906136223,m,13.941988334090057,m
350,"(873, 68, 1007, 201)",7,0.9955918192863464,9.020686450859296,-13.195486703810689,f,-9.774729462363403,f
350,"(337, 123, 473, 259)",11,0.9618728756904602,20.347690544981432,-17.76792193180037,f,-17.627504112068532,f
350,"(613, 262, 791, 440)",12,0.9467676877975464,13.846136018457395,11.218819080754196,m,13.941988334090057,m
